name,ref,SRR1103937.trimmed,SRR1103938.trimmed,SRR1103939.trimmed,SRR1103940.trimmed,SRR1103941.trimmed,SRR1103942.trimmed,SRR1103943.trimmed,SRR1103944.trimmed,SRR1103945.trimmed,SRR1103946.trimmed,SRR1103947.trimmed,SRR1103948.trimmed,SRR1103937.trimmed norm,SRR1103938.trimmed norm,SRR1103939.trimmed norm,SRR1103940.trimmed norm,SRR1103941.trimmed norm,SRR1103942.trimmed norm,SRR1103943.trimmed norm,SRR1103944.trimmed norm,SRR1103945.trimmed norm,SRR1103946.trimmed norm,SRR1103947.trimmed norm,SRR1103948.trimmed norm,total_reads,mean_norm
hsa-miR-181a-5p,mirbase-hsa,729962.5,466724.5,933988.5,551787.5,451743.5,366465.0,1534169.5,1125487.0,1103582.5,1950549.5,1058805.0,1163763.5,203770.5,221724.0,256013.7,211461.9,187029.1,139702.3,147833.8,140834.4,145203.6,157199.2,130344.9,125040.6,11437028.5,172179.8
hsa-miR-26a-5p,mirbase-hsa,145799.0,107594.5,230278.0,200788.0,134358.0,205032.5,776330.5,753649.0,760563.0,1210224.0,936571.5,1002070.5,40700.1,51114.3,63121.0,76948.1,55626.4,78161.7,74807.8,94305.6,100070.9,97534.7,115297.3,107667.5,6463258.5,79612.9
hsa-miR-9-5p,mirbase-hsa,232244.0,112402.0,151785.0,133308.0,128663.0,128098.0,569440.0,502733.0,406674.0,661398.0,409193.0,563534.0,64831.4,53398.1,41605.5,51087.7,53268.6,48833.0,54871.7,62908.0,53508.0,53303.6,50374.0,60548.9,3999472.0,54044.9
hsa-miR-22-3p,mirbase-hsa,143357.0,78859.0,148710.0,122790.0,119257.0,143209.0,638719.0,412378.0,382974.0,523800.0,373676.0,258091.0,40018.4,37463.1,40762.6,47056.9,49374.3,54593.6,61547.5,51601.7,50389.7,42214.2,46001.6,27730.6,3345820.0,45729.5
hsa-let-7a-5p,mirbase-hsa,171297.3,91379.8,187378.9,119996.0,107602.5,142363.9,460192.6,367403.3,330088.3,505331.5,316865.3,397796.1,47818.0,43411.2,51362.1,45986.1,44549.2,54271.4,44344.5,45973.9,43431.3,40725.8,39007.9,42741.2,3197695.5,45301.9
hsa-miR-143-3p,mirbase-hsa,162417.0,73880.0,130294.0,83761.0,123760.0,136984.0,280141.0,210990.0,404235.0,429409.0,346162.0,446185.0,45339.0,35097.7,35714.6,32099.8,51238.6,52220.5,26994.6,26401.6,53187.1,34607.0,42614.5,47940.3,2828218.0,40288.0
hsa-miR-27b-3p,mirbase-hsa,96557.5,52784.0,144135.0,72631.5,75422.0,71040.5,357584.0,284465.5,359794.0,598310.0,345538.5,349106.0,26954.2,25075.8,39508.6,27834.6,31225.9,27081.8,34457.1,35595.7,47339.8,48219.2,42537.8,37509.7,2807368.5,35278.3
hsa-miR-30a-5p,mirbase-hsa,146463.0,71279.5,115361.5,90221.0,78321.5,87821.5,340172.5,264192.5,257578.0,446031.8,299618.5,383035.0,40885.4,33862.3,31621.5,34575.5,32426.4,33479.0,32779.3,33058.9,33890.8,35946.7,36884.7,41155.2,2580096.2,35047.1
hsa-miR-127-3p,mirbase-hsa,58026.0,36221.0,49161.0,38621.0,40481.0,45079.0,219312.0,144331.0,188240.0,302271.0,305748.0,344846.0,16198.1,17207.3,13475.4,14800.8,16759.8,17184.8,21133.1,18060.4,24767.6,24360.7,37639.3,37052.0,1772337.0,21553.3
hsa-let-7f-5p,mirbase-hsa,124890.7,64864.7,107708.4,69362.6,67437.9,74720.1,248156.6,195853.8,168785.1,281541.6,158043.5,210515.0,34863.5,30814.9,29523.7,26581.9,27920.4,28484.5,23912.6,24507.6,22207.8,22690.1,19456.0,22618.8,1771880.0,26131.8
hsa-miR-101-3p,mirbase-hsa,93922.0,49743.0,73428.0,60142.0,53446.0,59974.0,218371.0,175445.0,142684.0,245242.0,135030.0,157641.0,26218.5,23631.1,20127.2,23048.3,22127.5,22863.0,21042.4,21953.8,18773.6,19764.6,16623.0,16937.7,1465068.0,21092.6
hsa-miR-128-3p,mirbase-hsa,63722.0,44540.0,49573.0,44178.0,52989.0,54209.0,246286.0,159798.0,111142.0,211179.0,126874.0,125231.0,17788.1,21159.3,13588.4,16930.4,21938.3,20665.3,23732.3,19995.8,14623.5,17019.4,15618.9,13455.5,1289721.0,18042.9
hsa-miR-191-5p,mirbase-hsa,29031.0,22488.0,30170.0,24809.0,23728.0,29341.0,140153.0,97879.0,111296.0,219855.0,189201.0,254570.0,8104.1,10683.2,8269.8,9507.6,9823.8,11185.3,13505.3,12247.8,14643.7,17718.6,23291.7,27352.3,1172521.0,13861.1
hsa-miR-92b-3p,mirbase-hsa,35227.0,21481.0,28645.0,28997.0,30158.0,38789.5,132529.5,84899.0,100113.0,278288.0,139798.5,159650.0,9833.7,10204.9,7851.8,11112.5,12485.9,14787.2,12770.6,10623.6,13172.3,22427.9,17210.0,17153.6,1078575.5,13302.8
