name,ref,SRR1103937.trimmed,SRR1103938.trimmed,SRR1103939.trimmed,SRR1103940.trimmed,SRR1103941.trimmed,SRR1103942.trimmed,SRR1103943.trimmed,SRR1103944.trimmed,SRR1103945.trimmed,SRR1103946.trimmed,SRR1103947.trimmed,SRR1103948.trimmed,SRR1103937.trimmed norm,SRR1103938.trimmed norm,SRR1103939.trimmed norm,SRR1103940.trimmed norm,SRR1103941.trimmed norm,SRR1103942.trimmed norm,SRR1103943.trimmed norm,SRR1103944.trimmed norm,SRR1103945.trimmed norm,SRR1103946.trimmed norm,SRR1103947.trimmed norm,SRR1103948.trimmed norm,total_reads,mean_norm
hsa-miR-181a-5p,mirbase-hsa,729962.0,466724.0,933988.0,551788.0,451744.0,366465.0,1534170.0,1125487.0,1103582.0,1950550.0,1058805.0,1163764.0,203770.5,221724.4,256013.7,211462.7,187029.5,139703.0,147833.8,140834.5,145203.6,157199.2,130345.0,125040.7,11437029.0,172180.0
hsa-miR-26a-5p,mirbase-hsa,145799.0,107594.0,230278.0,200788.0,134358.0,205032.0,776330.0,753649.0,760563.0,1210224.0,936572.0,1002070.0,40700.1,51114.2,63121.1,76948.3,55626.4,78161.8,74807.8,94305.6,100070.9,97534.7,115297.4,107667.5,6463257.0,79613.0
hsa-miR-9-5p,mirbase-hsa,232244.0,112402.0,151785.0,133308.0,128663.0,128098.0,569440.0,502733.0,406674.0,661398.0,409193.0,563534.0,64831.4,53398.3,41605.5,51087.9,53268.6,48833.2,54871.7,62908.0,53508.1,53303.6,50374.0,60549.0,3999472.0,54044.9
hsa-miR-22-3p,mirbase-hsa,143357.0,78859.0,148710.0,122790.0,119257.0,143209.0,638719.0,412378.0,382974.0,523800.0,373676.0,258091.0,40018.4,37463.2,40762.6,47057.0,49374.4,54593.8,61547.5,51601.7,50389.7,42214.2,46001.7,27730.6,3345820.0,45729.6
hsa-let-7a-5p,mirbase-hsa,171297.0,91380.0,187379.0,119996.0,107603.0,142364.0,460193.0,367403.0,330088.0,505332.0,316865.0,397796.0,47817.9,43411.5,51362.1,45986.3,44549.4,54271.7,44344.6,45973.9,43431.3,40725.8,39007.9,42741.2,3197696.0,45302.0
hsa-miR-143-3p,mirbase-hsa,162417.0,73880.0,130294.0,83761.0,123760.0,136984.0,280141.0,210990.0,404235.0,429409.0,346162.0,446185.0,45339.1,35097.8,35714.6,32099.9,51238.7,52220.7,26994.6,26401.6,53187.1,34607.1,42614.6,47940.4,2828218.0,40288.0
hsa-miR-27b-3p,mirbase-hsa,96558.0,52784.0,144135.0,72632.0,75422.0,71040.0,357584.0,284466.0,359794.0,598310.0,345538.0,349106.0,26954.4,25075.8,39508.6,27834.9,31226.0,27081.7,34457.1,35595.8,47339.8,48219.2,42537.7,37509.7,2807369.0,35278.4
hsa-miR-30a-5p,mirbase-hsa,146463.0,71280.0,115362.0,90221.0,78322.0,87822.0,340172.0,264192.0,257578.0,446032.0,299618.0,383035.0,40885.5,33862.7,31621.7,34575.6,32426.6,33479.3,32779.2,33058.9,33890.8,35946.7,36884.7,41155.2,2580097.0,35047.2
hsa-miR-127-3p,mirbase-hsa,58026.0,36221.0,49161.0,38621.0,40481.0,45079.0,219312.0,144331.0,188240.0,302271.0,305748.0,344846.0,16198.1,17207.3,13475.4,14800.8,16759.8,17184.9,21133.1,18060.4,24767.6,24360.7,37639.3,37052.0,1772337.0,21553.3
hsa-let-7f-5p,mirbase-hsa,124891.0,64865.0,107708.0,69363.0,67438.0,74720.0,248157.0,195854.0,168785.0,281542.0,158043.0,210515.0,34863.6,30815.1,29523.6,26582.1,27920.5,28484.6,23912.6,24507.6,22207.8,22690.1,19456.0,22618.8,1771881.0,26131.9
