length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
61,-14.899999618530273,1,5,50.81967213114754,40.0,17,5,3,11,1,2,13,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,3,2,0,0,0,0,1,4,0,0,1,0,1,0,0,0
61,-9.5,1,5,45.90163934426229,40.0,11,6,1,12,0,1,8,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4
61,-20.700000762939453,1,4,55.73770491803278,25.0,19,6,4,4,2,2,15,1,0,2,0,0,0,1,0,2,3,1,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1
75,-16.5,1,6,49.333333333333336,50.0,20,6,5,6,2,3,18,2,2,1,0,0,0,1,4,2,1,0,0,1,0,0,0,3,0,1,0,1,0,1,0,1,0,0,0,1,0,0,3
41,-8.899999618530273,1,4,56.09756097560976,25.0,10,4,2,2,1,1,9,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,2
64,-13.0,1,5,46.875,20.0,17,4,6,4,3,3,13,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,2,0,1,0,2,0,2,2,1,0,0,0,1,1,1,1
64,-13.0,1,7,56.25,85.71428571428571,16,5,3,7,1,2,13,1,0,3,0,0,0,1,1,2,1,1,0,0,0,0,1,1,1,0,0,2,0,0,0,2,0,1,0,0,0,0,3
64,-18.0,1,6,57.8125,50.0,18,7,3,5,0,3,15,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,3,2,1,0,0,0,0,0,0,3,1,0,0,0,0,1,3
110,-34.20000076293945,1,10,54.54545454545454,50.0,34,7,7,5,4,3,26,5,0,0,1,0,1,1,3,3,0,1,1,1,0,0,2,7,1,1,0,2,1,0,1,0,1,0,2,0,0,0,1
60,-15.0,1,19,55.00000000000001,42.10526315789473,13,8,2,5,1,1,11,0,0,1,0,0,0,0,4,2,0,0,0,1,1,0,0,2,1,0,0,0,0,0,2,2,1,0,0,0,0,0,3
60,-9.399999618530273,1,4,46.666666666666664,25.0,16,6,3,4,0,3,13,3,0,1,0,0,0,1,4,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
43,-8.0,1,4,44.18604651162791,50.0,11,6,1,1,1,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,3,1,0,0,0,0,0,0,2
43,-6.599999904632568,1,6,48.837209302325576,66.66666666666666,10,5,2,1,0,2,9,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
57,-14.800000190734863,1,4,59.64912280701754,25.0,14,6,4,4,1,3,13,1,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,1,0,1,1,1,0,0,2,1,0,1,0,1,0,0,2
57,-9.600000381469727,1,4,42.10526315789473,50.0,15,4,4,3,2,2,14,1,0,0,0,3,0,0,3,2,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,1,0,1,0,0,1
59,-6.699999809265137,1,3,42.3728813559322,0.0,16,5,4,4,2,2,12,1,1,1,1,1,0,1,3,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0
110,-22.600000381469727,1,11,43.63636363636363,36.36363636363637,30,7,7,5,4,3,23,3,2,1,1,0,0,1,4,3,1,1,0,2,0,0,0,2,2,0,0,3,0,0,2,2,0,0,1,1,1,0,3
93,-24.700000762939453,1,3,48.38709677419355,0.0,25,9,5,8,2,3,22,4,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,6,0,1,0,1,0,1,8,2,1,1,0,0,0,0,2
62,-13.699999809265137,1,4,51.61290322580645,75.0,16,6,4,4,2,2,12,1,1,0,0,1,0,1,2,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,2,2,0,0,0,0,0,2
83,-33.79999923706055,1,8,57.831325301204814,62.5,23,8,3,6,1,2,20,0,0,0,0,1,0,0,1,5,1,1,0,0,0,1,0,3,2,1,0,0,0,0,4,3,0,0,0,1,0,0,3
83,-18.0,1,4,48.19277108433735,25.0,23,5,6,3,3,3,16,2,1,2,1,0,0,1,1,1,1,0,0,1,0,0,2,2,1,1,0,1,0,0,0,1,2,0,1,2,0,2,1
83,-29.299999237060547,1,8,56.62650602409639,37.5,26,9,4,6,1,3,19,4,0,1,0,0,0,0,2,2,0,0,0,2,0,1,1,4,0,0,0,1,0,0,2,3,0,0,2,0,0,1,1
68,-12.600000381469727,1,3,47.05882352941176,0.0,17,9,4,6,2,2,14,2,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,3,0,0,0,1,0,0,3,0,2,0,0,0,1,0,2
63,-8.5,1,4,47.61904761904761,25.0,17,4,5,4,1,4,14,3,0,0,3,1,0,1,2,1,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
62,-6.5,1,4,43.54838709677419,50.0,13,5,2,6,0,2,10,0,0,0,0,0,0,0,3,1,1,1,0,1,0,1,0,2,1,0,0,1,0,3,3,1,0,1,0,0,0,0,0
62,-8.399999618530273,1,7,45.16129032258064,57.14285714285714,14,4,4,6,1,3,14,1,0,1,0,0,1,0,3,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,3
62,-8.0,1,4,37.096774193548384,25.0,15,6,3,8,2,1,12,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,2,2,0,0,0,0,1,3,1,0,1,0,1,0,1,0
62,-9.600000381469727,1,4,48.38709677419355,0.0,10,5,2,5,0,2,10,0,0,1,0,0,0,0,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,2,0,0,0,2,0,0,1
81,-36.099998474121094,1,6,60.49382716049383,50.0,26,6,5,4,2,3,19,1,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,2,0,1,1,1,0,3,2,3,1,0,0,2,0,0,1
81,-26.200000762939453,1,8,50.617283950617285,25.0,25,9,5,7,1,4,18,4,0,0,1,0,0,1,4,1,1,0,0,1,0,0,1,4,0,0,0,1,0,0,2,2,1,0,2,1,0,0,0
76,-21.399999618530273,1,8,47.368421052631575,37.5,24,6,6,4,2,4,18,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,6,0,1,0,1,0,0,2,2,1,2,1,2,0,0,1
76,-17.700000762939453,1,7,46.05263157894737,71.42857142857143,23,6,5,5,3,2,21,2,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,4,1,0,0,3,0,0,2,1,1,0,0,3,0,0,1
