length,mfe,loops,loop_length,gc,loop_gc,stem_length,longest_stem,bulges,longest_bulge,bulges_symmetric,bulges_asymmetric,stem_mismatches,A(((,A((.,A(..,A(.(,A.((,A.(.,A..(,A...,G(((,G((.,G(..,G(.(,G.((,G.(.,G..(,G...,T(((,T((.,T(..,T(.(,T.((,T.(.,T..(,T...,C(((,C((.,C(..,C(.(,C.((,C.(.,C..(,C...
84,-41.29999923706055,1,14,47.61904761904761,42.857142857142854,30,10,3,2,3,0,30,4,0,1,0,1,0,0,0,4,0,0,0,1,0,1,0,5,2,1,0,0,0,1,2,3,0,0,0,0,0,0,2
75,-24.700000762939453,1,6,46.666666666666664,66.66666666666666,25,7,5,6,3,2,21,1,0,0,0,1,0,0,2,4,0,0,0,2,0,0,2,3,1,0,0,0,0,1,0,4,2,0,0,0,0,1,1
64,-24.600000381469727,1,11,32.8125,9.090909090909092,23,12,2,3,1,1,20,3,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,3,0,1,0,0,0,1,2,3,0,0,1,0,0,0,1
83,-39.0,1,8,42.168674698795186,62.5,34,20,2,1,0,2,27,5,0,0,0,0,0,1,1,5,0,1,0,1,0,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1
79,-30.0,1,12,40.50632911392405,25.0,31,20,4,1,1,3,27,4,0,0,0,0,0,0,1,4,0,1,0,3,1,0,0,5,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1
72,-28.600000381469727,1,4,51.388888888888886,0.0,27,11,7,1,4,3,23,1,1,1,0,1,0,0,1,6,0,0,1,0,0,0,0,2,0,0,1,2,0,1,0,2,1,0,0,2,1,0,0
68,-27.899999618530273,1,7,44.11764705882353,14.285714285714285,27,14,4,2,0,4,20,4,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,1,0,0,1,3,0,1,0,0,0,1,0
69,-42.0,1,8,56.52173913043478,50.0,27,12,3,2,2,1,21,4,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,2,0,0,2,1,0,0,2
93,-38.20000076293945,1,7,37.634408602150536,0.0,34,9,5,2,4,1,29,4,0,2,1,1,0,2,1,4,1,1,0,2,0,0,0,1,0,0,1,1,0,0,1,6,0,0,1,1,0,0,0
71,-21.100000381469727,1,5,45.07042253521127,20.0,25,4,7,2,5,2,23,4,0,0,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,0,3,2,0,1,0,0,0,1,0,2,0,0,0
71,-31.0,1,11,38.028169014084504,18.181818181818183,27,17,3,2,1,2,21,4,0,1,0,0,0,0,0,5,1,0,0,0,0,0,1,4,1,0,0,0,0,1,2,1,0,0,1,1,0,0,0
72,-34.599998474121094,1,3,48.61111111111111,33.33333333333333,32,16,4,1,1,3,25,3,1,0,3,0,0,0,0,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
110,-43.599998474121094,1,3,46.36363636363636,33.33333333333333,38,9,6,4,2,4,33,4,1,0,1,0,0,0,1,5,1,0,1,0,0,1,0,7,0,0,0,1,0,0,3,4,1,1,0,1,0,0,3
110,-42.79999923706055,1,11,48.18181818181818,18.181818181818183,34,14,6,3,4,2,28,3,2,0,1,0,0,0,1,6,4,0,0,1,0,0,1,3,0,2,0,0,0,1,2,1,0,0,1,3,0,2,2
85,-42.20000076293945,1,6,58.82352941176471,50.0,32,11,6,2,2,4,30,2,0,0,0,0,0,0,0,5,2,1,0,1,0,0,2,3,0,0,1,0,0,0,0,5,1,0,1,2,0,2,0
78,-39.5,1,12,58.97435897435898,33.33333333333333,27,13,4,1,2,2,20,2,1,0,2,0,0,0,2,5,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,5,1,0,0,0,1,0,1
70,-28.100000381469727,1,14,47.14285714285714,50.0,22,11,2,3,1,1,21,3,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,5,2,1,1,0,0,0,1,1,0,0,0,0,0,0,3
82,-38.0,1,4,52.4390243902439,50.0,21,8,2,2,2,0,15,0,0,0,1,0,0,0,8,5,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,3,1,0,0,2,0,0,0
63,-20.0,1,6,61.904761904761905,16.666666666666664,17,8,3,9,1,2,13,0,0,0,1,0,0,1,1,5,1,0,0,0,0,0,0,1,3,0,0,0,0,1,3,1,0,0,0,0,0,1,2
103,-52.0,2,13,60.19417475728155,61.53846153846154,36,10,5,2,5,0,30,2,1,0,1,2,0,0,0,5,0,1,1,1,0,0,1,2,1,0,0,0,0,0,2,5,4,0,1,2,0,0,2
81,-39.5,1,8,53.086419753086425,50.0,30,10,4,2,3,1,22,1,0,1,0,1,0,0,1,7,1,0,1,0,0,0,0,4,1,2,0,0,0,1,1,3,0,0,0,1,0,1,0
86,-39.70000076293945,1,5,65.11627906976744,60.0,31,8,8,3,2,6,23,2,2,0,0,0,0,2,0,6,2,0,1,2,0,1,0,0,0,1,1,0,0,1,1,5,0,1,0,0,0,0,0
88,-41.5,1,5,56.81818181818182,60.0,34,11,6,2,3,3,20,4,1,0,1,0,0,0,0,3,2,1,0,3,0,0,0,3,0,0,1,0,0,1,0,4,0,0,2,2,0,0,1
73,-31.799999237060547,1,4,45.20547945205479,50.0,27,11,3,5,2,1,24,4,1,0,0,0,0,1,1,3,2,0,0,0,0,1,1,3,0,0,1,0,0,0,0,3,0,0,0,2,0,0,1
82,-35.70000076293945,1,4,50.0,25.0,30,7,4,3,3,1,23,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,6,0,3,1,1,0,0,1,3,1,1,0,1,0,1,0
88,-41.099998474121094,1,13,47.72727272727273,30.76923076923077,30,12,6,2,5,1,23,4,1,0,0,3,0,0,2,4,2,0,0,0,0,0,2,1,1,1,3,0,0,0,0,2,0,0,2,1,0,0,0
